,destination,lines,origin,route,transfers,transferstations
9a7099e2-7e25-11e9-a65e-7831c1d08f6a,Henk Sneevlietweg,"['metro52', 'metro51']",Centraal Station,"['Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg']",1,['Station Zuid']
9a71bc58-7e25-11e9-bc9a-7831c1d08f6a,Overamstel,"['metro54', 'metro51']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Overamstel']",1,['Spaklerweg']
9a74ade6-7e25-11e9-bc88-7831c1d08f6a,Station Bijlmer ArenA,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA']",1,['Centraal Station']
9a75f99e-7e25-11e9-8c40-7831c1d08f6a,Amstelstation,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation']",1,['Centraal Station']
9a77839a-7e25-11e9-9bc1-7831c1d08f6a,Weesperplein,"['metro51', 'metro54']",Station Zuid,"['Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",1,['Spaklerweg']
9a7884fa-7e25-11e9-9ed4-7831c1d08f6a,Centraal Station,['metro54'],Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9a79c858-7e25-11e9-819e-7831c1d08f6a,Centraal Station,['metro54'],Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9a7b6ac8-7e25-11e9-bb09-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Amstelstation,"['Amstelstation', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9a7cbf4a-7e25-11e9-8760-7831c1d08f6a,Spaklerweg,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg']",1,['Centraal Station']
9a7fa994-7e25-11e9-8013-7831c1d08f6a,Jan v.Galenstraat,"['metro52', 'metro51']",Centraal Station,"['Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat']",1,['Station Zuid']
9a81c44a-7e25-11e9-b396-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Gein,"['Gein', 'Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9a84df4a-7e25-11e9-89e6-7831c1d08f6a,Station Duivendrecht,"['metro51', 'metro54']",Postjesweg,"['Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht']",1,['Spaklerweg']
9a870ae8-7e25-11e9-8633-7831c1d08f6a,Weesperplein,['metro54'],Bullewijk,"['Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",0,[]
9a880d28-7e25-11e9-b0da-7831c1d08f6a,Centraal Station,['metro54'],Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9a8a5c2c-7e25-11e9-aefd-7831c1d08f6a,Gein,"['tram12', 'metro54']",De Pijp,"['De Pijp', 'Cornelis Troostplein', 'Scheldestraat', 'Maasstraat', 'Waalstraat', 'Victorieplein', 'Amsteldijk', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA', 'Bullewijk', 'Station Holendrecht', 'Reigersbos', 'Gein']",1,['Amstelstation']
9a8d955e-7e25-11e9-ad30-7831c1d08f6a,Station Sloterdijk,['metro51'],Burg.de Vlugtlaan,"['Burg.de Vlugtlaan', 'Station Sloterdijk']",0,[]
9a90588c-7e25-11e9-a612-7831c1d08f6a,Henk Sneevlietweg,['metro51'],Station Zuid,"['Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg']",0,[]
9a9122f0-7e25-11e9-8f12-7831c1d08f6a,Centraal Station,['metro54'],Amstelstation,"['Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9a93850c-7e25-11e9-948e-7831c1d08f6a,Waterlooplein,['metro54'],Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein']",0,[]
9a977eca-7e25-11e9-8b3d-7831c1d08f6a,Burg.de Vlugtlaan,"['metro54', 'metro51']",Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan']",1,['Spaklerweg']
9a98304a-7e25-11e9-ac17-7831c1d08f6a,Amstelstation,"['metro51', 'metro54']",Station Zuid,"['Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation']",1,['Spaklerweg']
9a993b18-7e25-11e9-bdb2-7831c1d08f6a,Rokin,"['metro53', 'metro54', 'metro52']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station', 'Rokin']",2,"['Van der Madeweg', 'Centraal Station']"
9a9b12cc-7e25-11e9-8d2d-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Nieuwmarkt,"['Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9a9c1aa2-7e25-11e9-b0f6-7831c1d08f6a,Centraal Station,['metro54'],Gein,"['Gein', 'Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9a9ed814-7e25-11e9-a2e7-7831c1d08f6a,Centraal Station,['metro54'],Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9aa1a0ba-7e25-11e9-9da6-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9aa316b8-7e25-11e9-9c96-7831c1d08f6a,Amstelveenseweg,"['metro52', 'metro51']",Centraal Station,"['Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg']",1,['Station Zuid']
9aa539fa-7e25-11e9-b47d-7831c1d08f6a,Weesperplein,['metro54'],Strandvliet,"['Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",0,[]
9aa6a88c-7e25-11e9-bf8c-7831c1d08f6a,Amstelstation,['metro54'],Reigersbos,"['Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation']",0,[]
9aa7a624-7e25-11e9-a010-7831c1d08f6a,Centraal Station,['metro54'],Bullewijk,"['Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9aa9cb18-7e25-11e9-8854-7831c1d08f6a,Weesperplein,['metro54'],Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",0,[]
9aa9db4c-7e25-11e9-8242-7831c1d08f6a,Henk Sneevlietweg,['metro51'],Station Sloterdijk,"['Station Sloterdijk', 'Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg']",0,[]
9aadc27a-7e25-11e9-a243-7831c1d08f6a,Bullewijk,['metro54'],Wibautstraat,"['Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA', 'Bullewijk']",0,[]
9ab10aa2-7e25-11e9-9dec-7831c1d08f6a,Station Diemen-Zuid,"['metro51', 'metro50', 'metro53']",Postjesweg,"['Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid']",2,"['Overamstel', 'Van der Madeweg']"
9ab318e2-7e25-11e9-a4c7-7831c1d08f6a,Station Bijlmer ArenA,"['tram12', 'metro54']",De Pijp,"['De Pijp', 'Cornelis Troostplein', 'Scheldestraat', 'Maasstraat', 'Waalstraat', 'Victorieplein', 'Amsteldijk', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA']",1,['Amstelstation']
9ab7b91a-7e25-11e9-a235-7831c1d08f6a,Station Sloterdijk,"['metro53', 'metro50', 'metro51']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']",2,"['Van der Madeweg', 'Overamstel']"
9ab85cc6-7e25-11e9-b1d4-7831c1d08f6a,Rokin,['metro52'],Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin']",0,[]
9abb5c8c-7e25-11e9-a975-7831c1d08f6a,Bullewijk,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA', 'Bullewijk']",1,['Centraal Station']
9abef162-7e25-11e9-9b0d-7831c1d08f6a,Strandvliet,['metro54'],Station Duivendrecht,"['Station Duivendrecht', 'Strandvliet']",0,[]
9ac0e39e-7e25-11e9-a01a-7831c1d08f6a,Wibautstraat,"['metro51', 'metro54']",Burg.de Vlugtlaan,"['Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat']",1,['Spaklerweg']
9ac50446-7e25-11e9-af8a-7831c1d08f6a,Station Sloterdijk,"['metro53', 'metro50', 'metro51']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']",2,"['Van der Madeweg', 'Overamstel']"
9ac6ee62-7e25-11e9-9e1c-7831c1d08f6a,Weesperplein,"['metro51', 'metro54']",Burg.de Vlugtlaan,"['Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",1,['Spaklerweg']
9ac6fd9e-7e25-11e9-8d3a-7831c1d08f6a,Centraal Station,['metro52'],Noord,"['Noord', 'Noorderpark', 'Centraal Station']",0,[]
9ac87110-7e25-11e9-8d0a-7831c1d08f6a,Amstelveenseweg,"['metro52', 'metro51']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg']",1,['Station Zuid']
9acca26c-7e25-11e9-a227-7831c1d08f6a,Station Sloterdijk,"['metro54', 'metro51']",Gein,"['Gein', 'Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']",1,['Spaklerweg']
9acd78ae-7e25-11e9-8dd8-7831c1d08f6a,Rokin,"['metro51', 'metro52']",Postjesweg,"['Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin']",1,['Station Zuid']
9acf9fe4-7e25-11e9-b64f-7831c1d08f6a,Heemstedestraat,"['metro52', 'metro51']",De Pijp,"['De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat']",1,['Station Zuid']
9ad1fa34-7e25-11e9-9bac-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9ad2f9a8-7e25-11e9-b757-7831c1d08f6a,Centraal Station,['metro54'],Bullewijk,"['Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9ad44de6-7e25-11e9-99c7-7831c1d08f6a,Amstelstation,['metro54'],Spaklerweg,"['Spaklerweg', 'Amstelstation']",0,[]
9ad51bcc-7e25-11e9-baef-7831c1d08f6a,Centraal Station,"['metro51', 'metro52']",Henk Sneevlietweg,"['Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']",1,['Station Zuid']
9ad72a70-7e25-11e9-94ac-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9ad8c36c-7e25-11e9-a221-7831c1d08f6a,Station Zuid,"['metro53', 'metro50', 'metro51']",Venserpolder,"['Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid']",2,"['Van der Madeweg', 'Overamstel']"
9ada1370-7e25-11e9-985b-7831c1d08f6a,Centraal Station,['metro54'],Van der Madeweg,"['Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9addf148-7e25-11e9-8f7e-7831c1d08f6a,Station Diemen-Zuid,"['metro54', 'metro53']",Reigersbos,"['Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid']",1,['Van der Madeweg']
9ae23462-7e25-11e9-baf3-7831c1d08f6a,Station Sloterdijk,"['metro53', 'metro50', 'metro51']",Station Diemen-Zuid,"['Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']",2,"['Van der Madeweg', 'Overamstel']"
9ae65766-7e25-11e9-8c9f-7831c1d08f6a,De Boelelaan/VU,"['metro54', 'metro51', 'tram24']",Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'VU medisch centrum', 'De Boelelaan/VU']",2,"['Spaklerweg', 'Amstelveenseweg']"
9ae760e8-7e25-11e9-adc0-7831c1d08f6a,Centraal Station,['metro54'],Gein,"['Gein', 'Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein', 'Nieuwmarkt', 'Centraal Station']",0,[]
9ae77042-7e25-11e9-8d51-7831c1d08f6a,Van der Madeweg,['metro54'],Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg']",0,[]
9ae9557e-7e25-11e9-aafd-7831c1d08f6a,Weesperplein,"['metro51', 'metro54']",Burg.de Vlugtlaan,"['Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",1,['Spaklerweg']
9aed2f00-7e25-11e9-8d9f-7831c1d08f6a,Heemstedestraat,"['metro54', 'metro51']",Reigersbos,"['Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat']",1,['Spaklerweg']
9aee2612-7e25-11e9-a7ab-7831c1d08f6a,Station Zuid,['metro52'],Rokin,"['Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid']",0,[]
9af0fb08-7e25-11e9-beb8-7831c1d08f6a,Centraal Station,"['metro51', 'metro52']",Henk Sneevlietweg,"['Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']",1,['Station Zuid']
9af113ae-7e25-11e9-8bdb-7831c1d08f6a,Van der Madeweg,['metro54'],Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg']",0,[]
9af29206-7e25-11e9-97fd-7831c1d08f6a,Overamstel,"['metro54', 'metro51']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Overamstel']",1,['Spaklerweg']
9af50694-7e25-11e9-b843-7831c1d08f6a,Weesperplein,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein']",1,['Centraal Station']
9af6ec3e-7e25-11e9-9d3d-7831c1d08f6a,Weesperplein,"['metro51', 'metro54']",Postjesweg,"['Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein']",1,['Spaklerweg']
9af86174-7e25-11e9-813c-7831c1d08f6a,Spaklerweg,"['metro53', 'metro54']",Gaasperplas,"['Gaasperplas', 'Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Spaklerweg']",1,['Van der Madeweg']
9af93066-7e25-11e9-a61b-7831c1d08f6a,Amstelstation,"['metro51', 'metro54']",Overamstel,"['Overamstel', 'Spaklerweg', 'Amstelstation']",1,['Spaklerweg']
9afc151a-7e25-11e9-9d4f-7831c1d08f6a,Station Bijlmer ArenA,['metro54'],Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA']",0,[]
9affabd0-7e25-11e9-952a-7831c1d08f6a,Henk Sneevlietweg,"['metro54', 'metro51']",Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg']",1,['Spaklerweg']
9b0149f4-7e25-11e9-a8a4-7831c1d08f6a,Station Zuid,"['metro53', 'metro50', 'metro51']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid']",2,"['Van der Madeweg', 'Overamstel']"
9b022646-7e25-11e9-966f-7831c1d08f6a,Centraal Station,"['metro51', 'metro52']",Burg.de Vlugtlaan,"['Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']",1,['Station Zuid']
9b0373b4-7e25-11e9-8ffd-7831c1d08f6a,Amstelstation,['metro54'],Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation']",0,[]
9b05e1a8-7e25-11e9-8345-7831c1d08f6a,Waterlooplein,"['metro52', 'metro54']",Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein']",1,['Centraal Station']
9b093b46-7e25-11e9-b6c7-7831c1d08f6a,Station Bijlmer ArenA,"['metro51', 'metro54']",Station Sloterdijk,"['Station Sloterdijk', 'Burg.de Vlugtlaan', 'Jan v.Galenstraat', 'Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA']",1,['Spaklerweg']
9b0a279a-7e25-11e9-b232-7831c1d08f6a,Station Zuid,['metro52'],Noord,"['Noord', 'Noorderpark', 'Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid']",0,[]
9b0bf4a8-7e25-11e9-9f2d-7831c1d08f6a,Weesperplein,['metro54'],Wibautstraat,"['Wibautstraat', 'Weesperplein']",0,[]
9b0d993e-7e25-11e9-b677-7831c1d08f6a,Waterlooplein,"['metro51', 'metro54']",Station RAI,"['Station RAI', 'Overamstel', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein']",1,['Spaklerweg']
9b105e12-7e25-11e9-a9f4-7831c1d08f6a,Heemstedestraat,"['metro52', 'metro51']",Centraal Station,"['Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat']",1,['Station Zuid']
9b133236-7e25-11e9-8475-7831c1d08f6a,Station Lelylaan,"['metro52', 'metro51']",Centraal Station,"['Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan']",1,['Station Zuid']
9b17592e-7e25-11e9-b10c-7831c1d08f6a,Station Holendrecht,['metro54'],Bullewijk,"['Bullewijk', 'Station Holendrecht']",0,[]
9b197698-7e25-11e9-9fc7-7831c1d08f6a,Amstelveenseweg,"['metro54', 'metro51']",Station Holendrecht,"['Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg']",1,['Spaklerweg']
9b1cfc3a-7e25-11e9-b1c7-7831c1d08f6a,Heemstedestraat,"['metro54', 'metro51']",Station Duivendrecht,"['Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat']",1,['Spaklerweg']
9b20810c-7e25-11e9-996a-7831c1d08f6a,Station Sloterdijk,"['metro52', 'metro51']",Noorderpark,"['Noorderpark', 'Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Amstelveenseweg', 'Henk Sneevlietweg', 'Heemstedestraat', 'Station Lelylaan', 'Postjesweg', 'Jan v.Galenstraat', 'Burg.de Vlugtlaan', 'Station Sloterdijk']",1,['Station Zuid']
