;;;Coordinates;
Paraná Inferior;390,3;BRL;6332710;5457830
Paraná Inferior;392,0;BRL;6333146;5456308
Paraná Inferior;393,6;BNAmL;6333550;5454910
Paraná Inferior;397,0;BVL;6336080;5452680
Paraná Inferior;398,5;BVL;6337810;5451910
Paraná Inferior;399,4;BRL;6338753;5451760
Paraná Inferior;400,0;BVL;6339570;5451280
Paraná Inferior;402,0;BVL;6340980;5450260
Paraná Inferior;404,5;BRL;6342610;5448710
Paraná Inferior;405,5;BVL;6343050;5447910
Paraná Inferior;407,2;BRL;6344060;5446940
Paraná Inferior;407,9;BRL;6344780;5446350
Paraná Inferior;410,4;BVL;6346572;5444787
Paraná Inferior;412,3;BRVRL;6348290;5443930
Paraná Inferior;413,0;BRL;6349182;5443352
Paraná Inferior;413,2;BNRNL;6349088;5442984
Paraná Inferior;414,8;BRL;6350828;5442629
Paraná Inferior;416,0;BNRNL;6351885;5442293
Paraná Inferior;417,2;BRL;6353059;5442455
Paraná Inferior;418,5;BRVRL;6354893;5441794
Paraná Inferior;427,8;BVL;6361458;5435990
Paraná Inferior;428,5;BNRNL;6362129;5436511
Paraná Inferior;432,1;BVL;6365113;5435453
Paraná Inferior;432,1;BRL;6365138;5435694
Paraná Inferior;434,6;BVL;6367208;5434886
Paraná Inferior;436,7;BVL;6369522;5434271
Paraná Inferior;438,2;BVL;6371073;5433860
Paraná Inferior;438,9;BRL;6371582;5433969
Paraná Inferior;445,6;BNRNL;6377533;5432423
Paraná Inferior;448,0;BVL;6380465;5432555
Paraná Inferior;449,9;BVL;6381305;5433075
Paraná Inferior;451,0;BVL;6382275;5433515
Paraná Inferior;451,8;BVL;6383120;5433440
Paraná Inferior;456,0;BRL;6387550;5431180
Paraná Inferior (Ruta Secundaria);289,0;BVC;6282417;5526400
Paraná Inferior (Ruta Secundaria);290,5;BVL;6282494;5525303
Paraná Inferior (Ruta Secundaria);291,5;BRC;6282483;5524200
Paraná Inferior (Ruta Secundaria);293,0;BRL;6281980;5522720
Paraná Inferior (Ruta Secundaria);316,0;BRC;6293544;5507840
Paraná Inferior (Ruta Secundaria);318,0;BRL;6293592;5506448
Paraná Inferior (Ruta Secundaria);319,3;BRL;6293696;5505535
Paraná Inferior (Ruta Secundaria);321,7;BRL;6294231;5503160
Paraná Inferior (Ruta Secundaria);322,7;BRL;6294568;5502230
Paraná Inferior (Ruta Secundaria);323,0;BRL;6294778;5501931
Paraná Inferior (Ruta Secundaria);323,6;BRL;6295392;5501572
Paraná Inferior (Ruta Secundaria);334,6;BVL;6302853;5493870
Paraná Inferior (Ruta Secundaria);336,2;BVL;6304523;5493295
Paraná Inferior (Ruta Secundaria);337,3;BVL;6305470;5493370
Paraná Inferior (Ruta Secundaria);339,6;BVL;6307920;5493615
Paraná Inferior (Ruta Secundaria);340,0;BVL;6308440;5493640
Paraná Inferior (Ruta Secundaria);340,2;BRL;6308840;5493760
Paraná Inferior (Ruta Secundaria);340,8;BVL;6309010;5493275
Paraná Inferior (Ruta Secundaria);341,4;BVL;6309320;5492420
Paraná Inferior (Ruta Secundaria);341,9;BRL;6309480;5491500
Paraná Inferior (Ruta Secundaria);342,3;BVL;6309113;5490770
Paraná Inferior (Ruta Secundaria);349,1;BRC;6311100;5482900
Paraná Medio;461,0;BRL;6391970;5429330
Paraná Medio;465,5;BRL;6397272;5426070
Paraná Medio;469,5;BRL;6400287;5424870
Paraná Medio;471,5;BRL;6403437;5424965
Paraná Medio;472,0;BzVL;6404052;5424808
Paraná Medio;472,8;BRL;6404340;5425760
Paraná Medio;473,9;BVL;6404847;5426690
Paraná Medio;476,0;BVL;6405487;5428460
Paraná Medio;478,0;BVL;6407187;5430401
Paraná Medio;480,0;BRL;6409150;5431430
Paraná Medio;483,5;BRL;6411952;5432343
Paraná Medio;488,5;BVL;6416400;5433120
Paraná Medio;491,0;BRL;6417500;5433000
Paraná Medio;492,0;BRL;6418300;5432250
Paraná Medio;494,0;BRL;6419720;5430540
Paraná Medio;495,2;BRL;6421770;5430210
Paraná Medio;496,8;BRL;6422760;5430470
Paraná Medio;498,0;BVL;6423850;5434450
Paraná Medio;500,0;BRL;6424267;5436175
Paraná Medio;502,3;BVL;6425445;5435765
Paraná Medio;504,1;BRL;6426930;5435400
Paraná Medio;506,9;BVL;6429400;5435950
Paraná Medio;508,3;BRL;6430680;5436080
Paraná Medio;509,7;BRL;6432051;5436018
Paraná Medio;510,3;BVL;6432670;5435940
Paraná Medio;513,4;BRL;6435720;5435980
Paraná Medio;514,1;BVL;6436420;5435770
Paraná Medio;516,9;BRL;6439080;5434670
Paraná Medio;518,4;BVL;6440390;5433890
Paraná Medio;520,2;BRL;6441680;5433370
Paraná Medio;520,7;BRL;6442360;5433120
Paraná Medio;521,0;BNRNL;6442429;5432679
Paraná Medio;521,3;BRL;6443150;5433200
Paraná Medio;524,8;BRL;6445222;5434685
Paraná Medio;526,0;BRL;6445745;5435470
Paraná Medio;526,9;BVL;6446470;5435920
Paraná Medio;529,0;BVL;6448257;5437335
Paraná Medio;531,0;BzRL;6450372;5438340
Paraná Medio;532,1;BRL;6451320;5437460
Paraná Medio;533,1;BRL;6451920;5436820
Paraná Medio;536,8;BRL;6453480;5436200
Paraná Medio;538,2;BVL;6454840;5436240
Paraná Medio;539,7;BVL;6456380;5436630
Paraná Medio;543,8;BVL;6458290;5436770
Paraná Medio;544,6;BVL;6459065;5436900
Paraná Medio;545,3;BVL;6459890;5436930
Paraná Medio;546,6;BVL;6461020;5436430
Paraná Medio;547,6;BVL;6461880;5435580
Paraná Medio;548,8;BRL;6462640;5435000
Paraná Medio;550,8;BRL;6463855;5434315
Paraná Medio;552,4;BRL;6464837;5434175
Paraná Medio;553,0;BRL;6465397;5434350
Paraná Medio;557,0;BRL;6466347;5435149
Paraná Medio;560,7;BVL;6467737;5436810
Paraná Medio;563,0;BRL;6469617;5438070
Paraná Medio;564,0;BVL;6471570;5438150
Paraná Medio;567,6;BRL;6472390;5438300
Paraná Medio;Biskaya;BNRNL;6473597;5438340
Paraná Medio;572,0;BVL;6476542;5438140
Paraná Medio;574,5;BRL;6478787;5438380
Paraná Medio;576,0;BVL;6480327;5438600
Paraná Medio;578,7;BAmNL;6481360;5438940
Paraná Medio;578,9;BVL;6482250;5438770
Paraná Medio;580,0;BVL;6483600;5438325
Paraná Medio;580,8;BVL;6484470;5438090
Paraná Medio;582,0;BRL;6486010;5437210
Paraná Medio;582,5;BRL;6486790;5436830
Paraná Medio;582,8;BVL;6487710;5436640
Paraná Medio;583,5;BRL;6488600;5437100
Paraná Medio;584,0;BAmNL;6489380;5437400
Paraná Medio;585,3;BRL;6490620;5437100
Paraná Medio;586,1;BRL;6491287;5436860
